Housing ID,price,area,bedrooms,bathrooms,stories,mainroad,Mainroad1,guestroom,Guestroom1,basement,basement1,hotwaterheating,Hotwaterheating2,airconditioning,Airconditioning3,parking,prefarea,Prefarea1,furnishingstatus
Housing id -23,8645000,8050,3,1,1,yes,1,yes,1,yes,1,no,0,yes,1,1,no,0,furnished
Housing id -24,8645000,4560,3,2,2,yes,1,yes,1,yes,1,no,0,yes,1,1,no,0,furnished
Housing id -25,8575000,8800,3,2,2,yes,1,no,0,no,0,no,0,yes,1,2,no,0,furnished
Housing id -26,8540000,6540,4,2,2,yes,1,yes,1,yes,1,no,0,yes,1,2,yes,1,furnished
Housing id -27,8463000,6000,3,2,4,yes,1,yes,1,yes,1,no,0,yes,1,0,yes,1,semi-furnished
Housing id -28,8400000,8875,3,1,1,yes,1,no,0,no,0,no,0,no,0,1,no,0,semi-furnished
Housing id -29,8400000,7950,5,2,2,yes,1,no,0,yes,1,yes,1,no,0,2,no,0,unfurnished
Housing id -30,8400000,5500,4,2,2,yes,1,no,0,yes,1,no,0,yes,1,1,yes,1,semi-furnished
Housing id -31,8400000,7475,3,2,4,yes,1,no,0,no,0,no,0,yes,1,2,no,0,unfurnished
Housing id -32,8400000,7000,3,1,4,yes,1,no,0,no,0,no,0,yes,1,2,no,0,semi-furnished
Housing id -33,8295000,4880,4,2,2,yes,1,no,0,no,0,no,0,yes,1,1,yes,1,furnished
Housing id -34,8190000,5960,3,3,2,yes,1,yes,1,yes,1,no,0,no,0,1,no,0,unfurnished
Housing id -35,8120000,6840,5,1,2,yes,1,yes,1,yes,1,no,0,yes,1,1,no,0,furnished
Housing id -36,8080940,7000,3,2,4,yes,1,no,0,no,0,no,0,yes,1,2,no,0,furnished
Housing id -37,8043000,7482,3,2,3,yes,1,no,0,no,0,yes,1,no,0,1,yes,1,furnished
Housing id -38,7980000,9000,4,2,4,yes,1,no,0,no,0,no,0,yes,1,2,no,0,furnished
Housing id -39,7962500,6000,3,1,4,yes,1,yes,1,no,0,no,0,yes,1,2,no,0,unfurnished
Housing id -40,7910000,6000,4,2,4,yes,1,no,0,no,0,no,0,yes,1,1,no,0,semi-furnished
Housing id -41,7875000,6550,3,1,2,yes,1,no,0,yes,1,no,0,yes,1,0,yes,1,furnished
Housing id -42,7840000,6360,3,2,4,yes,1,no,0,no,0,no,0,yes,1,0,yes,1,furnished
Housing id -43,7700000,6480,3,2,4,yes,1,no,0,no,0,no,0,yes,1,2,no,0,unfurnished
Housing id -44,7700000,6000,4,2,4,yes,1,no,0,no,0,no,0,no,0,2,no,0,semi-furnished
Housing id -45,7560000,6000,4,2,4,yes,1,no,0,no,0,no,0,yes,1,1,no,0,furnished
Housing id -46,7560000,6000,3,2,3,yes,1,no,0,no,0,no,0,yes,1,0,no,0,semi-furnished
Housing id -47,7525000,6000,3,2,4,yes,1,no,0,no,0,no,0,yes,1,1,no,0,furnished
Housing id -48,7490000,6600,3,1,4,yes,1,no,0,no,0,no,0,yes,1,3,yes,1,furnished
Housing id -49,7455000,4300,3,2,2,yes,1,no,0,yes,1,no,0,no,0,1,no,0,unfurnished
Housing id -50,7420000,7440,3,2,1,yes,1,yes,1,yes,1,no,0,yes,1,0,yes,1,semi-furnished
Housing id -51,7420000,7440,3,2,4,yes,1,no,0,no,0,no,0,no,0,1,yes,1,unfurnished
Housing id -52,7420000,6325,3,1,4,yes,1,no,0,no,0,no,0,yes,1,1,no,0,unfurnished
Housing id -53,7350000,6000,4,2,4,yes,1,yes,1,no,0,no,0,yes,1,1,no,0,furnished
Housing id -54,7350000,5150,3,2,4,yes,1,no,0,no,0,no,0,yes,1,2,no,0,semi-furnished
Housing id -55,7350000,6000,3,2,2,yes,1,yes,1,no,0,no,0,yes,1,1,no,0,semi-furnished
Housing id -56,7350000,6000,3,1,2,yes,1,no,0,no,0,no,0,yes,1,1,no,0,unfurnished
Housing id -57,7343000,11440,4,1,2,yes,1,no,0,yes,1,no,0,no,0,1,yes,1,semi-furnished
Housing id -58,7245000,9000,4,2,4,yes,1,yes,1,no,0,no,0,yes,1,1,yes,1,furnished
Housing id -59,7210000,7680,4,2,4,yes,1,yes,1,no,0,no,0,yes,1,1,no,0,semi-furnished
Housing id -60,7210000,6000,3,2,4,yes,1,yes,1,no,0,no,0,yes,1,1,no,0,furnished
Housing id -61,7140000,6000,3,2,2,yes,1,yes,1,no,0,no,0,no,0,1,no,0,semi-furnished
Housing id -62,7070000,8880,2,1,1,yes,1,no,0,no,0,no,0,yes,1,1,no,0,semi-furnished
Housing id -63,7070000,6240,4,2,2,yes,1,no,0,no,0,no,0,yes,1,1,no,0,furnished
Housing id -64,7035000,6360,4,2,3,yes,1,no,0,no,0,no,0,yes,1,2,yes,1,furnished
Housing id -65,7000000,11175,3,1,1,yes,1,no,0,yes,1,no,0,yes,1,1,yes,1,furnished
Housing id -66,6930000,8880,3,2,2,yes,1,no,0,yes,1,no,0,yes,1,1,no,0,furnished
Housing id -67,6930000,13200,2,1,1,yes,1,no,0,yes,1,yes,1,no,0,1,no,0,furnished
Housing id -68,6895000,7700,3,2,1,yes,1,no,0,no,0,no,0,no,0,2,no,0,unfurnished
Housing id -69,6860000,6000,3,1,1,yes,1,no,0,no,0,no,0,yes,1,1,no,0,furnished
Housing id -70,6790000,12090,4,2,2,yes,1,no,0,no,0,no,0,no,0,2,yes,1,furnished
Housing id -71,6790000,4000,3,2,2,yes,1,no,0,yes,1,no,0,yes,1,0,yes,1,semi-furnished
Housing id -72,6755000,6000,4,2,4,yes,1,no,0,no,0,no,0,yes,1,0,no,0,unfurnished
Housing id -73,6720000,5020,3,1,4,yes,1,no,0,no,0,no,0,yes,1,0,yes,1,unfurnished
Housing id -74,6685000,6600,2,2,4,yes,1,no,0,yes,1,no,0,no,0,0,yes,1,furnished
Housing id -75,6650000,4040,3,1,2,yes,1,no,0,yes,1,yes,1,no,0,1,no,0,furnished
Housing id -76,6650000,4260,4,2,2,yes,1,no,0,no,0,yes,1,no,0,0,no,0,semi-furnished
Housing id -77,6650000,6420,3,2,3,yes,1,no,0,no,0,no,0,yes,1,0,yes,1,furnished
Housing id -78,6650000,6500,3,2,3,yes,1,no,0,no,0,no,0,yes,1,0,yes,1,furnished
Housing id -79,6650000,5700,3,1,1,yes,1,yes,1,yes,1,no,0,yes,1,2,yes,1,furnished
Housing id -80,6650000,6000,3,2,3,yes,1,yes,1,no,0,no,0,yes,1,0,no,0,furnished
Housing id -81,6629000,6000,3,1,2,yes,1,no,0,no,0,yes,1,no,0,1,yes,1,semi-furnished
Housing id -82,6615000,4000,3,2,2,yes,1,no,0,yes,1,no,0,yes,1,1,no,0,semi-furnished
Housing id -83,6615000,10500,3,2,1,yes,1,no,0,yes,1,no,0,yes,1,1,yes,1,furnished
Housing id -84,6580000,6000,3,2,4,yes,1,no,0,no,0,no,0,yes,1,0,no,0,semi-furnished
Housing id -85,6510000,3760,3,1,2,yes,1,no,0,no,0,yes,1,no,0,2,no,0,semi-furnished
Housing id -86,6510000,8250,3,2,3,yes,1,no,0,no,0,no,0,yes,1,0,no,0,furnished
Housing id -87,6510000,6670,3,1,3,yes,1,no,0,yes,1,no,0,no,0,0,yes,1,unfurnished
Housing id -88,6475000,3960,3,1,1,yes,1,no,0,yes,1,no,0,no,0,2,no,0,semi-furnished
Housing id -89,6475000,7410,3,1,1,yes,1,yes,1,yes,1,no,0,yes,1,2,yes,1,unfurnished
Housing id -90,6440000,8580,5,3,2,yes,1,no,0,no,0,no,0,no,0,2,no,0,furnished
Housing id -91,6440000,5000,3,1,2,yes,1,no,0,no,0,no,0,yes,1,0,no,0,semi-furnished
Housing id -92,6419000,6750,2,1,1,yes,1,yes,1,yes,1,no,0,no,0,2,yes,1,furnished
Housing id -93,6405000,4800,3,2,4,yes,1,yes,1,no,0,no,0,yes,1,0,no,0,furnished
Housing id -94,6300000,7200,3,2,1,yes,1,no,0,yes,1,no,0,yes,1,3,no,0,semi-furnished
Housing id -95,6300000,6000,4,2,4,yes,1,no,0,no,0,no,0,no,0,1,no,0,semi-furnished
Housing id -96,6300000,4100,3,2,3,yes,1,no,0,no,0,no,0,yes,1,2,no,0,semi-furnished
Housing id -97,6300000,9000,3,1,1,yes,1,no,0,yes,1,no,0,no,0,1,yes,1,furnished
Housing id -98,6300000,6400,3,1,1,yes,1,yes,1,yes,1,no,0,yes,1,1,yes,1,semi-furnished
Housing id -99,6293000,6600,3,2,3,yes,1,no,0,no,0,no,0,yes,1,0,yes,1,unfurnished
Housing id -100,6265000,6000,4,1,3,yes,1,yes,1,yes,1,no,0,no,0,0,yes,1,unfurnished
Housing id -101,6230000,6600,3,2,1,yes,1,no,0,yes,1,no,0,yes,1,0,yes,1,unfurnished
Housing id -102,6230000,5500,3,1,3,yes,1,no,0,no,0,no,0,no,0,1,yes,1,unfurnished
Housing id -103,6195000,5500,3,2,4,yes,1,yes,1,no,0,no,0,yes,1,1,no,0,semi-furnished
Housing id -104,6195000,6350,3,2,3,yes,1,yes,1,no,0,no,0,yes,1,0,no,0,furnished
Housing id -105,6195000,5500,3,2,1,yes,1,yes,1,yes,1,no,0,no,0,2,yes,1,furnished
Housing id -106,6160000,4500,3,1,4,yes,1,no,0,no,0,no,0,yes,1,0,no,0,unfurnished
Housing id -107,6160000,5450,4,2,1,yes,1,no,0,yes,1,no,0,yes,1,0,yes,1,semi-furnished
Housing id -108,6125000,6420,3,1,3,yes,1,no,0,yes,1,no,0,no,0,0,yes,1,unfurnished
Housing id -109,6107500,3240,4,1,3,yes,1,no,0,no,0,no,0,no,0,1,no,0,semi-furnished
Housing id -110,6090000,6615,4,2,2,yes,1,yes,1,no,0,yes,1,no,0,1,no,0,semi-furnished
Housing id -111,6090000,6600,3,1,1,yes,1,yes,1,yes,1,no,0,no,0,2,yes,1,semi-furnished
Housing id -112,6090000,8372,3,1,3,yes,1,no,0,no,0,no,0,yes,1,2,no,0,unfurnished
Housing id -113,6083000,4300,6,2,2,yes,1,no,0,no,0,no,0,no,0,0,no,0,furnished
Housing id -114,6083000,9620,3,1,1,yes,1,no,0,yes,1,no,0,no,0,2,yes,1,furnished
Housing id -115,6020000,6800,2,1,1,yes,1,yes,1,yes,1,no,0,no,0,2,no,0,furnished
Housing id -116,6020000,8000,3,1,1,yes,1,yes,1,yes,1,no,0,yes,1,2,yes,1,semi-furnished
Housing id -117,6020000,6900,3,2,1,yes,1,yes,1,yes,1,no,0,no,0,0,yes,1,unfurnished
Housing id -118,5950000,3700,4,1,2,yes,1,yes,1,no,0,no,0,yes,1,0,no,0,furnished
Housing id -119,5950000,6420,3,1,1,yes,1,no,0,yes,1,no,0,yes,1,0,yes,1,furnished
Housing id -120,5950000,7020,3,1,1,yes,1,no,0,yes,1,no,0,yes,1,2,yes,1,semi-furnished
Housing id -121,5950000,6540,3,1,1,yes,1,yes,1,yes,1,no,0,no,0,2,yes,1,furnished
Housing id -122,5950000,7231,3,1,2,yes,1,yes,1,yes,1,no,0,yes,1,0,yes,1,semi-furnished
Housing id -123,5950000,6254,4,2,1,yes,1,no,0,yes,1,no,0,no,0,1,yes,1,semi-furnished
Housing id -124,5950000,7320,4,2,2,yes,1,no,0,no,0,no,0,no,0,0,no,0,furnished
Housing id -125,5950000,6525,3,2,4,yes,1,no,0,no,0,no,0,no,0,1,no,0,furnished
Housing id -126,5943000,15600,3,1,1,yes,1,no,0,no,0,no,0,yes,1,2,no,0,semi-furnished
Housing id -127,5880000,7160,3,1,1,yes,1,no,0,yes,1,no,0,no,0,2,yes,1,unfurnished
Housing id -128,5880000,6500,3,2,3,yes,1,no,0,no,0,no,0,yes,1,0,no,0,unfurnished
Housing id -129,5873000,5500,3,1,3,yes,1,yes,1,no,0,no,0,yes,1,1,no,0,furnished
Housing id -130,5873000,11460,3,1,3,yes,1,no,0,no,0,no,0,no,0,2,yes,1,semi-furnished
Housing id -131,5866000,4800,3,1,1,yes,1,yes,1,yes,1,no,0,no,0,0,no,0,unfurnished
Housing id -132,5810000,5828,4,1,4,yes,1,yes,1,no,0,no,0,no,0,0,no,0,semi-furnished
Housing id -133,5810000,5200,3,1,3,yes,1,no,0,no,0,no,0,yes,1,0,no,0,semi-furnished
Housing id -134,5810000,4800,3,1,3,yes,1,no,0,no,0,no,0,yes,1,0,no,0,unfurnished
Housing id -135,5803000,7000,3,1,1,yes,1,no,0,yes,1,no,0,no,0,2,yes,1,semi-furnished
Housing id -136,5775000,6000,3,2,4,yes,1,no,0,no,0,no,0,yes,1,0,no,0,unfurnished
Housing id -137,5740000,5400,4,2,2,yes,1,no,0,no,0,no,0,yes,1,2,no,0,unfurnished
Housing id -138,5740000,4640,4,1,2,yes,1,no,0,no,0,no,0,no,0,1,no,0,semi-furnished
Housing id -139,5740000,5000,3,1,3,yes,1,no,0,no,0,no,0,yes,1,0,no,0,semi-furnished
Housing id -140,5740000,6360,3,1,1,yes,1,yes,1,yes,1,no,0,yes,1,2,yes,1,furnished
Housing id -141,5740000,5800,3,2,4,yes,1,no,0,no,0,no,0,yes,1,0,no,0,unfurnished
Housing id -142,5652500,6660,4,2,2,yes,1,yes,1,yes,1,no,0,no,0,1,yes,1,semi-furnished
Housing id -143,5600000,10500,4,2,2,yes,1,no,0,no,0,no,0,no,0,1,no,0,semi-furnished
Housing id -144,5600000,4800,5,2,3,no,0,no,0,yes,1,yes,1,no,0,0,no,0,unfurnished
Housing id -145,5600000,4700,4,1,2,yes,1,yes,1,yes,1,no,0,yes,1,1,no,0,furnished
Housing id -146,5600000,5000,3,1,4,yes,1,no,0,no,0,no,0,no,0,0,no,0,furnished
Housing id -147,5600000,10500,2,1,1,yes,1,no,0,no,0,no,0,no,0,1,no,0,semi-furnished
Housing id -148,5600000,5500,3,2,2,yes,1,no,0,no,0,no,0,no,0,1,no,0,semi-furnished
Housing id -149,5600000,6360,3,1,3,yes,1,no,0,no,0,no,0,no,0,0,yes,1,semi-furnished
Housing id -150,5600000,6600,4,2,1,yes,1,no,0,yes,1,no,0,no,0,0,yes,1,semi-furnished
Housing id -151,5600000,5136,3,1,2,yes,1,yes,1,yes,1,no,0,yes,1,0,yes,1,unfurnished
Housing id -152,5565000,4400,4,1,2,yes,1,no,0,no,0,no,0,yes,1,2,yes,1,semi-furnished
Housing id -153,5565000,5400,5,1,2,yes,1,yes,1,yes,1,no,0,yes,1,0,yes,1,furnished
Housing id -154,5530000,3300,3,3,2,yes,1,no,0,yes,1,no,0,no,0,0,no,0,semi-furnished
Housing id -155,5530000,3650,3,2,2,yes,1,no,0,no,0,no,0,no,0,2,no,0,semi-furnished
Housing id -156,5530000,6100,3,2,1,yes,1,no,0,yes,1,no,0,no,0,2,yes,1,furnished
Housing id -157,5523000,6900,3,1,1,yes,1,yes,1,yes,1,no,0,no,0,0,yes,1,semi-furnished
Housing id -158,5495000,2817,4,2,2,no,0,yes,1,yes,1,no,0,no,0,1,no,0,furnished
Housing id -159,5495000,7980,3,1,1,yes,1,no,0,no,0,no,0,no,0,2,no,0,semi-furnished
Housing id -160,5460000,3150,3,2,1,yes,1,yes,1,yes,1,no,0,yes,1,0,no,0,furnished
Housing id -161,5460000,6210,4,1,4,yes,1,yes,1,no,0,no,0,yes,1,0,no,0,furnished
Housing id -162,5460000,6100,3,1,3,yes,1,yes,1,no,0,no,0,yes,1,0,yes,1,semi-furnished
Housing id -163,5460000,6600,4,2,2,yes,1,yes,1,yes,1,no,0,no,0,0,yes,1,semi-furnished
Housing id -164,5425000,6825,3,1,1,yes,1,yes,1,yes,1,no,0,yes,1,0,yes,1,semi-furnished
Housing id -165,5390000,6710,3,2,2,yes,1,yes,1,yes,1,no,0,no,0,1,yes,1,furnished
Housing id -166,5383000,6450,3,2,1,yes,1,yes,1,yes,1,yes,1,no,0,0,no,0,unfurnished
Housing id -167,5320000,7800,3,1,1,yes,1,no,0,yes,1,no,0,yes,1,2,yes,1,unfurnished
Housing id -168,5285000,4600,2,2,1,yes,1,no,0,no,0,no,0,yes,1,2,no,0,semi-furnished
Housing id -169,5250000,4260,4,1,2,yes,1,no,0,yes,1,no,0,yes,1,0,no,0,furnished
Housing id -170,5250000,6540,4,2,2,no,0,no,0,no,0,no,0,yes,1,0,no,0,semi-furnished
Housing id -171,5250000,5500,3,2,1,yes,1,no,0,yes,1,no,0,no,0,0,no,0,semi-furnished
Housing id -172,5250000,10269,3,1,1,yes,1,no,0,no,0,no,0,no,0,1,yes,1,semi-furnished
Housing id -173,5250000,8400,3,1,2,yes,1,yes,1,yes,1,no,0,yes,1,2,yes,1,unfurnished
Housing id -174,5250000,5300,4,2,1,yes,1,no,0,no,0,no,0,yes,1,0,yes,1,unfurnished
Housing id -175,5250000,3800,3,1,2,yes,1,yes,1,yes,1,no,0,no,0,1,yes,1,unfurnished
Housing id -176,5250000,9800,4,2,2,yes,1,yes,1,no,0,no,0,no,0,2,no,0,semi-furnished
Housing id -177,5250000,8520,3,1,1,yes,1,no,0,no,0,no,0,yes,1,2,no,0,furnished
Housing id -178,5243000,6050,3,1,1,yes,1,no,0,yes,1,no,0,no,0,0,yes,1,semi-furnished
Housing id -179,5229000,7085,3,1,1,yes,1,yes,1,yes,1,no,0,no,0,2,yes,1,semi-furnished
Housing id -180,5215000,3180,3,2,2,yes,1,no,0,no,0,no,0,no,0,2,no,0,semi-furnished
Housing id -181,5215000,4500,4,2,1,no,0,no,0,yes,1,no,0,yes,1,2,no,0,semi-furnished
Housing id -182,5215000,7200,3,1,2,yes,1,yes,1,yes,1,no,0,no,0,1,yes,1,furnished
Housing id -183,5145000,3410,3,1,2,no,0,no,0,no,0,no,0,yes,1,0,no,0,semi-furnished
Housing id -184,5145000,7980,3,1,1,yes,1,no,0,no,0,no,0,no,0,1,yes,1,semi-furnished
Housing id -185,5110000,3000,3,2,2,yes,1,yes,1,yes,1,no,0,no,0,0,no,0,furnished
Housing id -186,5110000,3000,3,1,2,yes,1,no,0,yes,1,no,0,no,0,0,no,0,unfurnished
Housing id -187,5110000,11410,2,1,2,yes,1,no,0,no,0,no,0,no,0,0,yes,1,furnished
Housing id -188,5110000,6100,3,1,1,yes,1,no,0,yes,1,no,0,yes,1,0,yes,1,semi-furnished
Housing id -189,5075000,5720,2,1,2,yes,1,no,0,no,0,no,0,yes,1,0,yes,1,unfurnished
Housing id -190,5040000,3540,2,1,1,no,0,yes,1,yes,1,no,0,no,0,0,no,0,semi-furnished
Housing id -191,5040000,7600,4,1,2,yes,1,no,0,no,0,no,0,yes,1,2,no,0,furnished
Housing id -192,5040000,10700,3,1,2,yes,1,yes,1,yes,1,no,0,no,0,0,no,0,semi-furnished
Housing id -193,5040000,6600,3,1,1,yes,1,yes,1,yes,1,no,0,no,0,0,yes,1,furnished
Housing id -194,5033000,4800,2,1,1,yes,1,yes,1,yes,1,no,0,no,0,0,no,0,semi-furnished
Housing id -195,5005000,8150,3,2,1,yes,1,yes,1,yes,1,no,0,no,0,0,no,0,semi-furnished
Housing id -196,4970000,4410,4,3,2,yes,1,no,0,yes,1,no,0,no,0,2,no,0,semi-furnished
Housing id -197,4970000,7686,3,1,1,yes,1,yes,1,yes,1,yes,1,no,0,0,no,0,semi-furnished
Housing id -198,4956000,2800,3,2,2,no,0,no,0,yes,1,no,0,yes,1,1,no,0,semi-furnished
Housing id -199,4935000,5948,3,1,2,yes,1,no,0,no,0,no,0,yes,1,0,no,0,semi-furnished
Housing id -200,4907000,4200,3,1,2,yes,1,no,0,no,0,no,0,no,0,1,no,0,furnished
Housing id -201,4900000,4520,3,1,2,yes,1,no,0,yes,1,no,0,yes,1,0,no,0,semi-furnished
Housing id -202,4900000,4095,3,1,2,no,0,yes,1,yes,1,no,0,yes,1,0,no,0,semi-furnished
Housing id -203,4900000,4120,2,1,1,yes,1,no,0,yes,1,no,0,no,0,1,no,0,semi-furnished
Housing id -204,4900000,5400,4,1,2,yes,1,no,0,no,0,no,0,no,0,0,no,0,semi-furnished
Housing id -205,4900000,4770,3,1,1,yes,1,yes,1,yes,1,no,0,no,0,0,no,0,semi-furnished
Housing id -206,4900000,6300,3,1,1,yes,1,no,0,no,0,no,0,yes,1,2,no,0,semi-furnished
Housing id -207,4900000,5800,2,1,1,yes,1,yes,1,yes,1,no,0,yes,1,0,no,0,semi-furnished
Housing id -208,4900000,3000,3,1,2,yes,1,no,0,yes,1,no,0,yes,1,0,no,0,semi-furnished
Housing id -209,4900000,2970,3,1,3,yes,1,no,0,no,0,no,0,no,0,0,no,0,semi-furnished
Housing id -210,4900000,6720,3,1,1,yes,1,no,0,no,0,no,0,no,0,0,no,0,unfurnished
Housing id -211,4900000,4646,3,1,2,yes,1,yes,1,yes,1,no,0,no,0,2,no,0,semi-furnished
Housing id -212,4900000,12900,3,1,1,yes,1,no,0,no,0,no,0,no,0,2,no,0,furnished
Housing id -213,4893000,3420,4,2,2,yes,1,no,0,yes,1,no,0,yes,1,2,no,0,semi-furnished
Housing id -214,4893000,4995,4,2,1,yes,1,no,0,yes,1,no,0,no,0,0,no,0,semi-furnished
Housing id -215,4865000,4350,2,1,1,yes,1,no,0,yes,1,no,0,no,0,0,no,0,unfurnished
Housing id -216,4830000,4160,3,1,3,yes,1,no,0,no,0,no,0,no,0,0,no,0,unfurnished
Housing id -217,4830000,6040,3,1,1,yes,1,no,0,no,0,no,0,no,0,2,yes,1,semi-furnished
Housing id -218,4830000,6862,3,1,2,yes,1,no,0,no,0,no,0,yes,1,2,yes,1,furnished
Housing id -219,4830000,4815,2,1,1,yes,1,no,0,no,0,no,0,yes,1,0,yes,1,semi-furnished
Housing id -220,4795000,7000,3,1,2,yes,1,no,0,yes,1,no,0,no,0,0,no,0,unfurnished
Housing id -221,4795000,8100,4,1,4,yes,1,no,0,yes,1,no,0,yes,1,2,no,0,semi-furnished
Housing id -222,4767000,3420,4,2,2,yes,1,no,0,no,0,no,0,no,0,0,no,0,semi-furnished
Housing id -223,4760000,9166,2,1,1,yes,1,no,0,yes,1,no,0,yes,1,2,no,0,semi-furnished
Housing id -224,4760000,6321,3,1,2,yes,1,no,0,yes,1,no,0,yes,1,1,no,0,furnished
Housing id -225,4760000,10240,2,1,1,yes,1,no,0,no,0,no,0,yes,1,2,yes,1,unfurnished
Housing id -226,4753000,6440,2,1,1,yes,1,no,0,no,0,no,0,yes,1,3,no,0,semi-furnished
Housing id -227,4690000,5170,3,1,4,yes,1,no,0,no,0,no,0,yes,1,0,no,0,semi-furnished
Housing id -228,4690000,6000,2,1,1,yes,1,no,0,yes,1,no,0,yes,1,1,no,0,furnished
Housing id -229,4690000,3630,3,1,2,yes,1,no,0,no,0,no,0,no,0,2,no,0,semi-furnished
Housing id -230,4690000,9667,4,2,2,yes,1,yes,1,yes,1,no,0,no,0,1,no,0,semi-furnished
Housing id -231,4690000,5400,2,1,2,yes,1,no,0,no,0,no,0,no,0,0,yes,1,semi-furnished
Housing id -232,4690000,4320,3,1,1,yes,1,no,0,no,0,no,0,no,0,0,yes,1,semi-furnished
Housing id -233,4655000,3745,3,1,2,yes,1,no,0,yes,1,no,0,no,0,0,no,0,furnished
Housing id -234,4620000,4160,3,1,1,yes,1,yes,1,yes,1,no,0,yes,1,0,no,0,unfurnished
Housing id -235,4620000,3880,3,2,2,yes,1,no,0,yes,1,no,0,no,0,2,no,0,semi-furnished
Housing id -236,4620000,5680,3,1,2,yes,1,yes,1,no,0,no,0,yes,1,1,no,0,semi-furnished
Housing id -237,4620000,2870,2,1,2,yes,1,yes,1,yes,1,no,0,no,0,0,yes,1,semi-furnished
Housing id -238,4620000,5010,3,1,2,yes,1,no,0,yes,1,no,0,no,0,0,no,0,semi-furnished
Housing id -239,4613000,4510,4,2,2,yes,1,no,0,yes,1,no,0,no,0,0,no,0,semi-furnished
Housing id -240,4585000,4000,3,1,2,yes,1,no,0,no,0,no,0,no,0,1,no,0,furnished
Housing id -241,4585000,3840,3,1,2,yes,1,no,0,no,0,no,0,no,0,1,yes,1,semi-furnished
Housing id -242,4550000,3760,3,1,1,yes,1,no,0,no,0,no,0,no,0,2,no,0,semi-furnished
Housing id -243,4550000,3640,3,1,2,yes,1,no,0,no,0,no,0,yes,1,0,no,0,furnished
Housing id -244,4550000,2550,3,1,2,yes,1,no,0,yes,1,no,0,no,0,0,no,0,furnished
Housing id -245,4550000,5320,3,1,2,yes,1,yes,1,yes,1,no,0,no,0,0,yes,1,semi-furnished
Housing id -246,4550000,5360,3,1,2,yes,1,no,0,no,0,no,0,no,0,2,yes,1,unfurnished
Housing id -247,4550000,3520,3,1,1,yes,1,no,0,no,0,no,0,no,0,0,yes,1,semi-furnished
Housing id -248,4550000,8400,4,1,4,yes,1,no,0,no,0,no,0,no,0,3,no,0,unfurnished
Housing id -249,4543000,4100,2,2,1,yes,1,yes,1,yes,1,no,0,no,0,0,no,0,semi-furnished
Housing id -250,4543000,4990,4,2,2,yes,1,yes,1,yes,1,no,0,no,0,0,yes,1,furnished
Housing id -251,4515000,3510,3,1,3,yes,1,no,0,no,0,no,0,no,0,0,no,0,semi-furnished
Housing id -252,4515000,3450,3,1,2,yes,1,no,0,yes,1,no,0,no,0,1,no,0,semi-furnished
